muni_id,name,county,admin_region
09576111,Abenberg,,
09576451,Abenberger Wald,,
09577111,Absberg,,
09675111,Abtswind,,
09276111,Achslach,,
09572111,Adelsdorf,,
09571111,Adelshofen,,
09179111,Adelshofen,,
09772111,Adelsried,,
09771111,Adelzhausen,,
09274111,Adlkofen,,
09771112,Affing,,
09274112,Aham,,
09278112,Aholfing,,
09271111,Aholming,,
09473112,Ahorn,,
09472111,Ahorntal,,
09275111,Aicha vorm Wald,,
09771113,Aichach,,
09774166,Aichen,,
09275112,Aidenbach,,
09674111,Aidhausen,,
09273113,Aiglsbach,,
09771114,Aindling,,
09172111,Ainring,,
09278113,Aiterhofen,,
09777111,Aitrang,,
09187186,Albaching,,
09675112,Albertshofen,,
09275114,Aldersbach,,
09779111,Alerheim,,
09577113,Alesheim,,
09774111,Aletshausen,,
09574111,Alfeld,,
09178113,Allershausen,,
09179113,Alling,,
09772114,Allmannshofen,,
09274113,Altdorf,,
09574112,Altdorf bei Nürnberg,,
09375113,Alteglofsheim,,
09676111,Altenbuch,,
09376112,Altendorf,,
09471111,Altendorf,,
09478111,Altenkunstadt,,
09189111,Altenmarkt an der Alz,,
09772115,Altenmünster,,
09190111,Altenstadt,,
09775111,Altenstadt,,
09374111,Altenstadt an der Waldnaab,,
09375114,Altenthann,,
09679165,Altertheim,,
09274114,Altfraunhofen,,
09179114,Althegnenberg,,
09174111,Altomünster,,
09780112,Altusried,,
09171111,Altötting,,
09671111,Alzenau,,
09778111,Amberg,,
09361000,Amberg,,
09779112,Amerdingen,,
09181451,Ammersee,,
09188117,Andechs,,
09172112,Anger,,
09272451,Annathaler Wald,,
09561000,Ansbach,,
09190113,Antdorf,,
09175111,Anzing,,
09175451,Anzinger Forst,,
09181111,Apfeldorf,,
09778113,Apfeltrach,,
09571113,Arberg,,
09185113,Aresing,,
09372112,Arnschwang,,
09677114,Arnstein,,
09277111,Arnstorf,,
09372113,Arrach,,
09479112,Arzberg,,
09779115,Asbach-Bäumenheim,,
09278116,Ascha,,
09183113,Aschau am Inn,,
09187114,Aschau im Chiemgau,,
09184112,Aschheim,,
09273115,Attenhofen,,
09178115,Attenkirchen,,
09278117,Atting,,
09178116,Au in der Hallertau,,
09679114,Aub,,
09271113,Auerbach,,
09371113,Auerbach in der Oberpfalz,,
09472115,Aufseß,,
09761000,Augsburg,,
09779117,Auhausen,,
09672111,Aura an der Saale,,
09677116,Aura im Sinngrund,,
09571114,Aurach,,
09572114,Aurachtal,,
09775451,Auwald,,
09271114,Außernzell,,
09184137,Aying,,
09772117,Aystetten,,
09175112,Aßling,,
09771176,Baar,,
09778115,Babenhausen,,
09187116,Babensham,,
09773112,Bachhagel,,
09273116,Bad Abbach,,
09187117,Bad Aibling,,
09479111,Bad Alexandersbad,,
09180113,Bad Bayersoien,,
09472116,Bad Berneck im Fichtelgebirge,,
09277113,Bad Birnbach,,
09672112,Bad Bocklet,,
09672113,Bad Brückenau,,
09187128,Bad Endorf,,
09187129,Bad Feilnbach,,
09275116,Bad Füssing,,
09275124,Bad Griesbach im Rottal,,
09778144,Bad Grönenbach,,
09173111,Bad Heilbrunn,,
09780123,Bad Hindelang,,
09673141,Bad Königshofen im Grabfeld,,
09372137,Bad Kötzting,,
09377142,Bad Neualbenreuth,,
09673114,Bad Neustadt an der Saale,,
09478165,Bad Staffelstein,,
09475112,Bad Steben,,
09173112,Bad Tölz,,
09479166,Bad Weißenstadt,,
09182111,Bad Wiessee,,
09575112,Bad Windsheim,,
09778116,Bad Wörishofen,,
09274118,Baierbach,,
09184113,Baierbrunn,,
09175113,Baiern,,
09572115,Baiersdorf,,
09777114,Baisweil,,
09780113,Balderschwang,,
09774115,Balzhausen,,
09673116,Bastheim,,
09575113,Baudenbach,,
09471115,Baunach,,
09277112,Bayerbach,,
09274119,Bayerbach bei Ergoldsbach,,
09172115,Bayerisch Gmain,,
09182112,Bayrischzell,,
09571115,Bechhofen,,
09374170,Bechtsrieth,,
09574451,Behringersdorfer Forst,,
09775115,Bellenberg,,
09173113,Benediktbeuern,,
09778118,Benningen,,
09172116,Berchtesgaden,,
09475113,Berg,,
09188113,Berg,,
09373113,Berg bei Neumarkt in der Oberpfalz,,
09185116,Berg im Gau,,
09189113,Bergen,,
09577115,Bergen,,
09185118,Bergheim,,
09174113,Bergkirchen,,
09177112,Berglern,,
09679117,Bergtheim,,
09187118,Bernau am Chiemsee,,
09190114,Bernbeuren,,
09373114,Berngau,,
09271116,Bernried,,
09671112,Bessenbach,,
09472118,Betzenstein,,
09780114,Betzigau,,
09275117,Beutelsbach,,
09772121,Biberbach,,
09777118,Bidingen,,
09675113,Biebelried,,
09679118,Bieberehren,,
09777112,Biessenhofen,,
09472119,Bindlach,,
09371116,Birgland,,
09572451,Birkach,,
09476451,Birnbaum,,
09471117,Bischberg,,
09677120,Bischbrunn,,
09472121,Bischofsgrün,,
09472451,Bischofsgrüner Forst,,
09673117,Bischofsheim in der Rhön,,
09172117,Bischofswiesen,,
09773117,Bissingen,,
09780115,Blaichach,,
09671113,Blankenbach,,
09773119,Blindheim,,
09772125,Bobingen,,
09177113,Bockhorn,,
09274120,Bodenkirchen,,
09776111,Bodolz,,
09278118,Bogen,,
09780116,Bolsterlang,,
09772126,Bonstetten,,
09778120,Boos,,
09377113,Brand,,
09187120,Brannenburg,,
09674118,Breitbrunn,,
09187121,Breitbrunn am Chiemsee,,
09275118,Breitenberg,,
09778121,Breitenbrunn,,
09471119,Breitengüßbach,,
09478451,Breitengüßbacher Forst,,
09774117,Breitenthal,,
09175114,Bruck,,
09376117,Bruck in der Oberpfalz,,
09571122,Bruckberg,,
09187122,Bruckmühl,,
09574452,Brunn,,
09185123,Brunnen,,
09184114,Brunnthal,,
09572119,Bubenreuth,,
09774118,Bubesheim,,
09177114,Buch am Buchrain,,
09274121,Buch am Erlbach,,
09775118,Buch/Bayern,,
09183114,Buchbach,,
09675114,Buchbrunn,,
09779126,Buchdorf,,
09780117,Buchenberg,,
09271118,Buchhofen,,
09777121,Buchloe,,
09572120,Buckenhof,,
09572452,Buckenhofer Forst,,
09673451,Bundorfer Forst,,
09774121,Burgau,,
09780118,Burgberg im Allgäu,,
09471120,Burgebrach,,
09190118,Burggen,,
09575116,Burghaslach,,
09171112,Burghausen,,
09185125,Burgheim,,
09677452,Burgjoß,,
09171113,Burgkirchen an der Alz,,
09376119,Burglengenfeld,,
09674121,Burgpreppach,,
09577120,Burgsalach,,
09677122,Burgsinn,,
09574117,Burgthann,,
09673452,Burgwallbacher Forst,,
09471122,Burgwindheim,,
09571128,Burk,,
09672117,Burkardroth,,
09774122,Burtenbach,,
09778123,Buxheim,,
09773113,Bächingen an der Brenz,,
09377112,Bärnau,,
09190117,Böbing,,
09778119,Böhen,,
09576117,Büchenbach,,
09275119,Büchlberg,,
09678451,Bürgerwald,,
09676116,Bürgstadt,,
09573114,Cadolzburg,,
09473452,Callenberger Forst-West,,
09675116,Castell,,
09372116,Cham,,
09372117,Chamerau,,
09189114,Chieming,,
09189451,Chiemsee,,
09187123,Chiemsee,,
09463000,Coburg,,
09676117,Collenberg,,
09571130,Colmberg,,
09174115,Dachau,,
09575117,Dachsbach,,
09779129,Daiting,,
09671160,Dammbach,,
09771122,Dasing,,
09576452,Dechenwald,,
09271119,Deggendorf,,
09779130,Deiningen,,
09774124,Deisenhausen,,
09176120,Denkendorf,,
09571132,Dentlein am Forst,,
09675117,Dettelbach,,
09375127,Deuerling,,
09571134,Diebach,,
09772130,Diedorf,,
09575118,Diespeck,,
09571135,Dietenhofen,,
09277114,Dietersburg,,
09575119,Dietersheim,,
09376122,Dieterskirchen,,
09780119,Dietmannsried,,
09173118,Dietramszell,,
