ags,name,is_kreisfrei,bundesland,regierungsbezirk,landkreis,population,population_date,homepage_url,allowed_domains,lat,lon,wikipedia_url,wikidata_qid,wikipedia_revision,last_checked,source
09161000,Ingolstadt,1,Bayern,Oberbayern,,142308,2023-12-31T00:00:00Z,https://www.ingolstadt.de/,ingolstadt.de|www.ingolstadt.de,48.763056,11.425000,https://de.wikipedia.org/wiki/Ingolstadt,Q3004,263377778,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09162000,München,1,Bayern,Oberbayern,,1510378,2023-12-31T00:00:00Z,https://stadt.muenchen.de/rathaus.html,stadt.muenchen.de|www.stadt.muenchen.de,48.137500,11.575000,https://de.wikipedia.org/wiki/M%C3%BCnchen,Q1726,264073390,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09163000,Rosenheim,1,Bayern,Oberbayern,,65192,2023-12-31T00:00:00Z,https://www.rosenheim.de/,rosenheim.de|www.rosenheim.de,47.856111,12.128889,https://de.wikipedia.org/wiki/Rosenheim,Q4007,263761919,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171111,Altötting,0,Bayern,Oberbayern,Landkreis Altötting,13172,2023-12-31T00:00:00Z,https://www.altoetting.de/,altoetting.de|www.altoetting.de,48.226667,12.678333,https://de.wikipedia.org/wiki/Alt%C3%B6tting,Q256669,260235399,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171112,Burghausen,0,Bayern,Oberbayern,Landkreis Altötting,19494,2023-12-31T00:00:00Z,https://www.burghausen.de/,burghausen.de|www.burghausen.de,48.166667,12.833333,https://de.wikipedia.org/wiki/Burghausen,Q262669,263618925,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171113,Burgkirchen an der Alz,0,Bayern,Oberbayern,Landkreis Altötting,11008,2023-12-31T00:00:00Z,https://www.burgkirchen.de/,burgkirchen.de|www.burgkirchen.de,48.166667,12.716667,https://de.wikipedia.org/wiki/Burgkirchen_an_der_Alz,Q252884,261226564,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171114,Emmerting,0,Bayern,Oberbayern,Landkreis Altötting,4254,2023-12-31T00:00:00Z,http://www.gemeinde-emmerting.de,gemeinde-emmerting.de|www.gemeinde-emmerting.de,48.200000,12.766667,https://de.wikipedia.org/wiki/Emmerting,Q701332,264021377,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171115,Erlbach,0,Bayern,Oberbayern,Landkreis Altötting,1174,2023-12-31T00:00:00Z,http://www.erlbach.de,erlbach.de|www.erlbach.de,48.300000,12.783333,https://de.wikipedia.org/wiki/Erlbach_(Oberbayern),Q1355455,256275056,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171116,Feichten an der Alz,0,Bayern,Oberbayern,Landkreis Altötting,1342,2023-12-31T00:00:00Z,https://feichten.de,feichten.de|www.feichten.de,48.081776,12.595784,https://de.wikipedia.org/wiki/Feichten_an_der_Alz,Q701312,256275058,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171117,Garching an der Alz,0,Bayern,Oberbayern,Landkreis Altötting,8837,2023-12-31T00:00:00Z,http://www.garching-alz.de,garching-alz.de|www.garching-alz.de,48.116667,12.583333,https://de.wikipedia.org/wiki/Garching_an_der_Alz,Q259542,256275065,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
